"","Lastname_Player","RK","Team","W","L","ERA","G","GS","IP","H","R","ER","HR","BB","SO","Players","Age","Position","Salary","Salary_Classification","Salary_Classification2","Firstname_Player","ERAClassification"
"1","Alcantara",29,"MIA",6,14,3.88,32,32,197.1,179,94,85,23,81,151,"Sandy Alcantara","23","SP",555000,"Low Salary",0,"Sandy","Low ERA"
"2","Anderson",30,"OAK",13,9,3.89,31,31,176,181,80,76,20,49,90,"Brett Anderson","31","SP",1500000,"Low Salary",0,"Brett","High ERA"
"3","Bailey",54,"OAK",13,9,4.57,31,31,163.1,162,84,83,21,53,149,"Homer Bailey","33","SP",555000,"Low Salary",0,"Homer","High ERA"
"4","Bauer",52,"CIN",11,13,4.48,34,34,213,184,118,106,34,82,253,"Trevor Bauer","28","SP",13000000,"High Salary",1,"Trevor","High ERA"
"5","Berrios",24,"MIN",14,8,3.68,32,32,200.1,194,94,82,26,51,195,"Jose Berrios","25","SP",620000,"Low Salary",0,"Jose","Low ERA"
"6","Bieber",15,"CLE",15,8,3.28,34,33,214.1,186,86,78,31,40,259,"Shane Bieber","24","SP",559600,"Low Salary",0,"Shane","Low ERA"
"7","Boyd",53,"DET",9,12,4.56,32,32,185.1,178,101,94,39,50,238,"Matt Boyd","28","SP",2600000,"Low Salary",0,"Matt","High ERA"
"8","Buehler",14,"LAD",14,4,3.26,30,30,182.1,153,77,66,20,37,215,"Walker Buehler","24","SP",570000,"Low Salary",0,"Walker","Low ERA"
"9","Bumgarner",33,"SF",9,9,3.9,34,34,207.2,191,99,90,30,43,203,"Madison Bumgarner","29","SP",12000000,"High Salary",1,"Madison","High ERA"
"10","Castillo",18,"CIN",15,8,3.4,32,32,190.2,139,76,72,22,79,226,"Luis Castillo","26","SP",557500,"Low Salary",0,"Luis","Low ERA"
"11","Cole",3,"HOU",20,5,2.5,33,33,212.1,142,66,59,29,48,326,"Gerrit Cole","28","SP",13500000,"High Salary",1,"Gerrit","Low ERA"
"12","Corbin",13,"WSH",14,7,3.25,33,33,202,169,81,73,24,70,238,"Patrick Corbin","30","SP",12916666,"High Salary",1,"Patrick","Low ERA"
"13","Darvish",35,"CHC",6,8,3.98,31,31,178.2,140,82,79,33,56,229,"Yu Darvish","32","SP",20000000,"High Salary",1,"Yu","High ERA"
"14","DeGrom",2,"NYM",11,8,2.43,32,32,204,154,59,55,19,44,255,"Jacob deGrom","31","SP",9500000,"High Salary",1,"Jacob","Low ERA"
"15","DeSclafani",31,"CIN",9,9,3.89,31,31,166.2,151,77,72,29,49,167,"Anthony DeSclafani","29","SP",2125000,"Low Salary",0,"Anthony","High ERA"
"16","Eflin",39,"PHI",10,13,4.13,32,28,163.1,172,88,75,28,48,129,"Zach Eflin","25","SP",590000,"Low Salary",0,"Zach","High ERA"
"17","Fiers",32,"OAK",15,4,3.9,33,33,184.2,166,82,80,30,53,126,"Michael Fiers","34","SP",6000000,"High Salary",1,"Michael","High ERA"
"18","Flaherty",6,"STL",11,8,2.75,33,33,196.1,135,62,60,25,55,231,"Jack Flaherty","23","SP",562100,"Low Salary",0,"Jack","Low ERA"
"19","Fried",38,"ATL",17,6,4.02,33,30,165.2,174,80,74,21,47,173,"Max Fried","25","SP",565000,"Low Salary",0,"Max","High ERA"
"20","Gonzales",37,"SEA",16,13,3.99,34,34,203,210,106,90,23,56,147,"Marco Gonzales","27","SP",900000,"Low Salary",0,"Marco","High ERA"
"21","Gray",7,"CIN",11,8,2.87,31,31,175.1,122,59,56,17,68,205,"Sonny Gray","29","SP",7500000,"High Salary",1,"Sonny","Low ERA"
"22","Greinke",9,"HOU",18,5,2.93,33,33,208.2,175,73,68,21,30,187,"Zack Greinke","35","SP",34500000,"High Salary",1,"Zack","Low ERA"
"23","Hendricks",20,"CHC",11,10,3.46,30,30,177,168,78,68,19,32,150,"Kyle Hendricks","29","SP",7405000,"High Salary",1,"Kyle","Low ERA"
"24","Hudson",17,"STL",16,7,3.35,33,32,174.2,160,80,65,22,86,136,"Dakota Hudson","24","SP",559100,"Low Salary",0,"Dakota","Low ERA"
"25","Junis",59,"KC",9,14,5.24,31,31,175.1,192,108,102,31,58,164,"Jake Junis","26","SP",578250,"Low Salary",0,"Jake","High ERA"
"26","Keller",42,"KC",7,14,4.19,28,28,165.1,154,80,77,15,70,122,"Brad Keller","23","SP",578175,"Low Salary",0,"Brad","High ERA"
"27","Keller",42,"KC",7,14,4.19,28,28,165.1,154,80,77,15,70,122,"Mitch Keller","23","SP",555000,"Low Salary",0,"Mitch","High ERA"
"28","Kelly",48,"ARI",13,14,4.42,32,32,183.1,184,95,90,29,57,158,"Merrill Kelly","30","SP",2000000,"Low Salary",0,"Merrill","High ERA"
"29","Kershaw",10,"LAD",16,5,3.03,29,28,178.1,145,63,60,28,41,189,"Clayton Kershaw","31","SP",31000000,"High Salary",1,"Clayton","Low ERA"
"30","Leake",45,"ARI",12,11,4.29,32,32,197,227,114,94,41,27,127,"Mike Leake","31","SP",16000000,"High Salary",1,"Mike","High ERA"
"31","Lester",51,"CHC",13,10,4.46,31,31,171.2,205,101,85,26,52,165,"Jon Lester","35","SP",27500000,"High Salary",1,"Jon","High ERA"
"32","Lopez",60,"CWS",10,15,5.38,33,33,184,203,119,110,35,65,169,"Jorge Lopez","26","SP",562250,"Low Salary",0,"Jorge","High ERA"
"33","Lopez",60,"CWS",10,15,5.38,33,33,184,203,119,110,35,65,169,"Pablo Lopez","23","SP",555000,"Low Salary",0,"Pablo","High ERA"
"34","Lopez",60,"CWS",10,15,5.38,33,33,184,203,119,110,35,65,169,"Reynaldo Lopez","25","SP",580000,"Low Salary",0,"Reynaldo","High ERA"
"35","Lucchesi",41,"SD",10,10,4.18,30,30,163.2,144,78,76,23,56,158,"Joey Lucchesi","26","SP",565100,"Low Salary",0,"Joey","High ERA"
"36","Lynn",23,"TEX",16,11,3.67,33,33,208.1,195,89,85,21,59,246,"Lance Lynn","32","SP",9333333,"High Salary",1,"Lance","Low ERA"
"37","Mikolas",40,"STL",9,14,4.16,32,32,184,193,90,85,27,32,144,"Miles Mikolas","30","SP",8750000,"High Salary",1,"Miles","High ERA"
"38","Miley",36,"HOU",14,6,3.98,33,33,167.1,164,83,74,23,61,140,"Wade Miley","32","SP",5000000,"Low Salary",0,"Wade","High ERA"
"39","Minor",22,"TEX",14,10,3.59,32,32,208.1,190,86,83,30,68,200,"Mike Minor","31","SP",9833333,"High Salary",1,"Mike","Low ERA"
"40","Morton",11,"TB",16,6,3.05,33,33,194.2,154,71,66,15,57,240,"Charlie Morton","35","SP",15000000,"High Salary",1,"Charlie","Low ERA"
"41","Musgrove",49,"PIT",11,12,4.44,32,31,170.1,168,98,84,21,39,157,"Joe Musgrove","26","SP",582500,"Low Salary",0,"Joe","High ERA"
"42","Nola",28,"PHI",12,7,3.87,34,34,202.1,176,91,87,27,80,229,"Aaron Nola","26","SP",4500000,"Low Salary",0,"Aaron","Low ERA"
"43","Nova",56,"CWS",11,12,4.72,34,34,187,225,107,98,30,47,114,"Ivan Nova","32","SP",9166668,"High Salary",1,"Ivan","High ERA"
"44","Perez",58,"MIN",10,7,5.12,32,29,165.1,184,104,94,23,67,135,"Martin Perez","28","SP",3500000,"Low Salary",0,"Martin","High ERA"
"45","Porcello",61,"BOS",14,12,5.52,32,32,174.1,198,114,107,31,45,143,"Rick Porcello","30","SP",21125000,"High Salary",1,"Rick","High ERA"
"46","Quintana",55,"CHC",13,9,4.68,32,31,171,191,100,89,20,46,152,"Jose Quintana","30","SP",10500000,"High Salary",1,"Jose","High ERA"
"47","Ray",46,"ARI",12,8,4.34,33,33,174.1,150,91,84,30,84,235,"Robbie Ray","27","SP",6050000,"High Salary",1,"Robbie","High ERA"
"48","Roark",47,"OAK",10,10,4.35,31,31,165.1,180,84,80,28,51,158,"Tanner Roark","32","SP",10000000,"High Salary",1,"Tanner","High ERA"
"49","Rodriguez",25,"BOS",19,6,3.81,34,34,203.1,195,88,86,24,75,213,"Eduardo Rodriguez","26","SP",4325000,"Low Salary",0,"Eduardo","Low ERA"
"50","Rodriguez",25,"BOS",19,6,3.81,34,34,203.1,195,88,86,24,75,213,"Dereck Rodriguez","27","SP",561250,"Low Salary",0,"Dereck","Low ERA"
"51","Ryu",1,"LAD",14,5,2.32,29,29,182.2,160,53,47,17,24,163,"Hyun-Jin Ryu","32","SP",17900000,"High Salary",1,"Hyun-Jin","Low ERA"
"52","Samardzija",21,"SF",11,12,3.52,32,32,181.1,152,78,71,28,49,140,"Jeff Samardzija","34","SP",19800000,"High Salary",1,"Jeff","Low ERA"
"53","Sanchez",27,"WSH",11,8,3.85,30,30,166,153,77,71,22,58,134,"Anibal Sanchez","35","SP",10000000,"High Salary",1,"Anibal","Low ERA"
"54","Scherzer",8,"WSH",11,7,2.92,27,27,172.1,144,59,56,18,33,243,"Max Scherzer","34","SP",37505562,"High Salary",1,"Max","Low ERA"
"55","Soroka",5,"ATL",13,4,2.68,29,29,174.2,153,56,52,14,41,142,"Michael Soroka","21","SP",555000,"Low Salary",0,"Michael","Low ERA"
"56","Strasburg",16,"WSH",18,6,3.32,33,33,209,161,79,77,24,56,251,"Stephen Strasburg","30","SP",39333334,"High Salary",1,"Stephen","Low ERA"
"57","Stroman",12,"NYM",10,13,3.22,32,32,184.1,183,77,66,18,58,159,"Marcus Stroman","28","SP",7400000,"High Salary",1,"Marcus","Low ERA"
"58","Syndergaard",44,"NYM",10,8,4.28,32,32,197.2,194,101,94,24,50,202,"Noah Syndergaard","26","SP",6000000,"High Salary",1,"Noah","High ERA"
"59","Tanaka",50,"NYY",11,9,4.45,32,31,182,186,95,90,28,40,149,"Masahiro Tanaka","30","SP",22000000,"High Salary",1,"Masahiro","High ERA"
"60","Teheran",26,"ATL",10,11,3.81,33,33,174.2,148,81,74,22,83,162,"Julio Teheran","28","SP",11166668,"High Salary",1,"Julio","Low ERA"
"61","Verlander",4,"HOU",21,6,2.58,34,34,223,137,66,64,36,42,300,"Justin Verlander","36","SP",28075000,"High Salary",1,"Justin","Low ERA"
"62","Wainwright",43,"STL",14,10,4.19,31,31,171.2,181,83,80,22,64,153,"Adam Wainwright","37","SP",10000000,"High Salary",1,"Adam","High ERA"
"63","Wheeler",34,"NYM",11,8,3.96,31,31,195.1,196,93,86,22,50,195,"Zack Wheeler","29","SP",5975000,"High Salary",1,"Zack","High ERA"
